From_ID,To_ID,Distance_miles
36,51,4.958
19,43,7.064
4,18,7.02
5,42,4.395
12,34,7.715
20,38,3.899
10,43,5.673
20,39,3.885
7,28,11.444
8,9,4.179
1,50,8.536
7,46,3.76
12,36,8.521
3,37,6.483
5,49,3.767
10,35,7.816
9,33,3.761
7,18,4.674
21,46,7.124
26,27,15.605
21,40,6.96
25,36,8.634
8,20,10.618
24,40,2.684
34,39,5.719
49,50,4.402
5,20,6.971
17,34,3.628
14,39,2.547
16,36,3.89
7,8,5.036
6,17,2.751
7,42,4.57
31,36,3.392
6,33,3.676
19,45,12.984
15,33,5.504
10,39,7.433
2,47,5.797
23,27,8.013
29,32,3.314
2,29,3.307
22,47,4.457
4,52,7.489
13,33,9.635
1,7,2.943
10,38,7.067
22,33,2.904
9,45,7.449
14,48,7.808
44,48,10.887
3,43,8.753
10,22,7.663
36,39,4.994
3,13,6.528
10,52,11.682
5,10,10.669
10,19,7.445
1,6,5.709
23,44,4.119
2,32,4.476
24,26,8.011
20,31,3.732
37,45,4.941
31,33,4.005
6,21,4.147
20,33,6.406
20,30,3.774
10,42,9.493
1,39,6.147
34,52,7.655
45,46,8.438
1,37,7.729
6,8,7.471
10,24,9.254
7,19,6.179
31,48,6.079
11,12,6.306
11,20,10.573
17,19,7.191
1,36,3.951
42,45,3.775
19,36,11.125
17,29,4.243
35,37,3.373
28,43,9.398
32,52,5.672
2,11,6.347
41,45,7.552
17,36,5.745
7,14,5.245
9,24,4.038
8,11,3.981
25,47,5.114
18,43,4.561
12,19,11.279
7,31,3.585
15,50,5.391
16,47,6.12
36,48,8.037
3,24,5.172
18,22,6.545
19,35,8.721
26,52,6.851
3,34,10.886
40,48,3.721
28,52,10.507
16,34,7.12
21,38,4.085
28,40,9.958
9,25,6.919
7,20,7.313
26,42,7.686
18,37,9.61
16,19,10.575
17,30,2.524
4,36,7.279
5,16,5.051
10,36,12.0
21,45,5.936
3,29,7.515
8,14,8.982
14,21,3.569
15,41,4.627
25,31,5.399
4,43,2.884
22,45,5.55
37,38,2.613
4,20,5.017
2,13,8.048
25,33,3.378
32,47,3.209
17,31,2.692
13,23,6.052
24,28,7.995
24,34,6.46
8,32,5.444
42,47,6.362
51,52,5.388
18,33,4.956
34,40,3.802
18,20,10.733
9,18,3.89
29,52,6.458
15,26,6.97
22,44,5.383
8,15,8.754
38,47,4.5
44,45,5.354
28,33,8.948
41,44,6.166
4,5,7.366
28,36,9.479
7,13,10.411
23,28,7.012
34,36,8.421
25,32,3.857
42,50,4.434
30,44,5.083
35,45,5.409
24,49,2.974
31,34,6.082
5,48,5.501
6,36,4.056
23,26,8.223
10,48,6.407
16,50,3.768
12,35,4.873
8,51,7.713
6,52,4.381
22,46,2.945
45,51,5.484
23,43,3.667
3,4,9.364
24,41,3.675
10,34,5.36
12,28,5.8
17,18,4.804
18,21,11.232
7,50,6.166
4,27,6.683
37,49,5.246
4,16,3.585
2,37,4.451
4,35,3.279
43,52,6.044
39,48,5.998
19,37,12.004
4,6,3.227
1,48,5.481
12,45,8.868
7,17,2.771
19,34,3.636
30,46,3.8
13,48,12.951
5,26,8.716
40,44,7.299
5,32,5.245
2,49,6.337
8,21,10.996
2,9,7.573
49,52,4.702
11,52,11.219
7,12,7.651
25,44,5.692
1,14,5.954
5,14,4.898
1,46,6.61
13,17,9.219
6,25,4.604
9,52,4.939
14,32,3.761
30,48,5.986
5,37,6.678
1,8,7.72
8,22,6.487
32,37,4.003
19,44,14.197
10,33,4.766
27,50,6.88
14,34,7.782
42,48,7.12
15,17,4.197
12,37,4.062
30,45,4.657
34,38,6.048
39,47,4.499
11,49,6.527
1,19,7.963
11,44,11.128
20,41,5.354
13,39,7.175
10,27,4.467
18,44,11.797
12,31,5.366
2,27,8.425
31,49,2.604
7,32,3.625
1,13,10.604
15,21,4.709
21,41,5.492
11,34,4.88
11,50,5.641
46,51,3.899
4,45,7.956
5,40,3.37
3,51,6.914
3,42,5.137
26,43,11.691
15,44,4.607
20,48,9.703
6,26,8.746
31,44,5.068
28,44,3.291
17,45,7.099
37,41,4.076
12,26,12.233
21,39,4.434
16,17,3.531
12,20,5.262
24,37,3.065
19,47,5.787
1,26,9.34
16,41,3.34
1,31,4.834
2,23,5.297
3,18,12.055
27,39,6.783
12,27,8.164
16,49,3.744
11,19,7.072
25,48,8.081
1,4,8.244
11,46,4.42
8,46,3.873
25,46,4.281
28,41,8.05
17,23,3.254
41,42,3.791
13,46,10.113
13,30,6.973
3,15,4.221
8,47,2.591
20,23,2.821
27,43,4.436
47,49,3.362
50,52,7.747
8,25,7.686
4,31,3.94
28,42,7.187
24,33,4.504
2,16,5.102
32,44,6.181
35,47,4.529
11,28,12.104
17,52,5.442
12,24,5.745
3,50,9.559
29,43,4.352
3,21,7.474
